"item";"location";"games";"location_general"
"Ultra Ball";"In the right puddle near the front entrance (hidden)";"B|W";"Twist Mountain"
"HM03 (Surf)";"Gift from Alder after defeating Cheren";"B|W";"Twist Mountain"
"Revive";"Main floor, in the north";"B|W";"Twist Mountain"
"Revive";"Western cave, in the middle (hidden)";"B|W";"Twist Mountain"
"Full Heal";"Main floor, in the south";"B|W";"Twist Mountain"
"Hyper Potion";"Southern cave, in the wall northeast of Hiker Darrell (hidden)";"B|W";"Twist Mountain"
"Stardust";"Eastern cave, upper part, on the second pile of dirt (hidden)";"B|W";"Twist Mountain"
"Stardust";"Eastern cave, lower part, on the pile of dirt east of Worker Rob (hidden)";"B|W";"Twist Mountain"
"Stardust";"Main floor, in the north (hidden)Winter";"B|W";"Twist Mountain"
"Moon Stone";"Eastern cave, eastern end of the upper part, behind Worker Heath";"B|W";"Twist Mountain"
"Max Potion";"Main floor, middle level, in the east";"B|W";"Twist Mountain"
"Ether";"Main floor, middle level, in the west";"B|W";"Twist Mountain"
"Nugget";"Western cave, in the middle";"B|W";"Twist Mountain"
"Elixir";"Western cave, southwest corner (hidden)";"B|W";"Twist Mountain"
"PP Up";"Western cave, northwest corner";"B|W";"Twist Mountain"
"Ultra Ball";"Northern cave, lower part, northwest of Black Belt TeppeiSpringSummerAutumn";"B|W";"Twist Mountain"
"Protein";"Northern cave, lower part, on a pile of dirt near Black Belt Teppei (hidden)SpringSummerAutumn";"B|W";"Twist Mountain"
"TM91 (Flash Cannon)";"Lowest cave, east of Ice Rock";"B|W";"Twist Mountain"
"TM90 (Substitute)";"Northern cave, in the middle, west of Ace Trainer JordanWinter";"B|W";"Twist Mountain"
"Metal Coat";"Little eastern caveWinter";"B|W";"Twist Mountain"
"Iron";"Main floor, in the northeast (hidden)Winter";"B|W";"Twist Mountain"
"Rare Candy";"Main floor, in the east (hidden)Winter";"B|W";"Twist Mountain"
"Helix Fossil";"Gift from Worker in tunnel outside the Ice Rock after obtaining the National Pokédex (one per day, selected randomly)";"B|W|B2|W2";"Twist Mountain"
"Dome Fossil";"Gift from Worker in tunnel outside the Ice Rock after obtaining the National Pokédex (one per day, selected randomly)";"B|W|B2|W2";"Twist Mountain"
"Old Amber";"Gift from Worker in tunnel outside the Ice Rock after obtaining the National Pokédex (one per day, selected randomly)";"B|W|B2|W2";"Twist Mountain"
"Root Fossil";"Gift from Worker in tunnel outside the Ice Rock after obtaining the National Pokédex (one per day, selected randomly)";"B|W|B2|W2";"Twist Mountain"
"Claw Fossil";"Gift from Worker in tunnel outside the Ice Rock after obtaining the National Pokédex (one per day, selected randomly)";"B|W|B2|W2";"Twist Mountain"
"Skull Fossil";"Gift from Worker in tunnel outside the Ice Rock after obtaining the National Pokédex (one per day, selected randomly)";"B|W|B2|W2";"Twist Mountain"
"Armor Fossil";"Gift from Worker in tunnel outside the Ice Rock after obtaining the National Pokédex (one per day, selected randomly)";"B|W|B2|W2";"Twist Mountain"
"Fire Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Water Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Electric Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Grass Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Ice Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Fighting Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Poison Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Ground Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Flying Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Psychic Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Bug Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Rock Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Ghost Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Dragon Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Dark Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Steel Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Normal Gem";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Fire Stone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Water Stone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Thunderstone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Leaf Stone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Moon Stone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Sun Stone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Shiny Stone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Dusk Stone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Dawn Stone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Oval Stone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Everstone";"Dust cloud";"B|W|B2|W2";"Twist Mountain"
"Hard Stone";"Dust cloud";"B|W";"Twist Mountain"
"Pearl";"On the western shore (hidden, reappears occasionally)";"B|W";"Undella Bay"
"Stardust";"On the western shore (hidden, reappears occasionally)";"B|W";"Undella Bay"
"Heart Scale";"Northeast of Swimmer♀ Tyra (requires Surf) (hidden)";"B|W";"Undella Bay"
"HM06 (Dive)";"From a girl in front of Cynthia's house";"B|W";"Undella Town"
"Big Nugget";"Right side of The Riches' Mansion behind the hedges";"B|W";"Undella Town"
"Leftovers";"Held by Gorge, a Munchlax the player can receive in a tradeSummer";"B|W";"Undella Town"
"Prism Scale";"From a man in the Pokémon Center";"B|W|B2|W2";"Undella Town"
"Max Revive";"1F, in the northern corner of the center cavern (requires Surf)";"B|W";"Victory Road (Black and White)"
"Max Revive";"1F, in the midsection of the western cavern (hidden)";"B|W";"Victory Road (Black and White)"
"Rare Candy";"1F, beyond the northern pond in the eastern cavern (requires Surf)";"B|W";"Victory Road (Black and White)"
"Ultra Ball";"2F, on the elevated platform in the eastern cavern (hidden)";"B|W";"Victory Road (Black and White)"
"Ultra Ball";"1F, outside, on the westernmost edge";"B|W";"Victory Road (Black and White)"
"TM12 (Taunt)";"2F, outside on the easternmost edge";"B|W";"Victory Road (Black and White)"
"Hyper Potion";"3F, on a rock in the middle of the middle cavern (hidden)";"B|W";"Victory Road (Black and White)"
"Full Restore";"4F, outside of eastern cavern";"B|W";"Victory Road (Black and White)"
"Revive";"4F, on a rock northwest of the movable boulder in the western cavern (hidden)";"B|W";"Victory Road (Black and White)"
"Calcium";"4F, in the western cavern, accessible from the outside";"B|W";"Victory Road (Black and White)"
"Full Heal";"6F, outside of the western cavern";"B|W";"Victory Road (Black and White)"
"Full Heal";"4F, in the wall in the middle of the row of rocks in the eastern cavern (hidden)";"B|W";"Victory Road (Black and White)"
"Carbos";"4F, in the wall between two rocks in the north end of the eastern cavern (hidden)";"B|W";"Victory Road (Black and White)"
"TM93 (Wild Charge)";"5F, outside, on the western side";"B|W";"Victory Road (Black and White)"
"Nugget";"1F, at very bottom of a slope from the top";"B|W";"Victory Road (Black and White)"
"Max Potion";"1F, in the easternmost edge of large empty cavern (hidden)";"B|W";"Victory Road (Black and White)"
"TM02 (Dragon Claw)";"3F, in the western chamber, accessible from 2F";"B|W";"Victory Road (Black and White)"
"Fire Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Water Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Electric Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Grass Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Ice Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Fighting Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Poison Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Ground Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Flying Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Psychic Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Bug Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Rock Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Ghost Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Dragon Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Dark Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Steel Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Normal Gem";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Fire Stone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Water Stone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Thunderstone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Leaf Stone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Moon Stone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Sun Stone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Shiny Stone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Dusk Stone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Dawn Stone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Oval Stone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Everstone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Hard Stone";"Dust cloud";"B|W";"Victory Road (Black and White)"
"Leftovers";"Inside the trash can under bridge (hidden)";"B|W";"Village Bridge"
"Calcium";"North of the bridge on a small island (requires Surf)";"B|W";"Village Bridge"
"Ultra Ball";"On the middle patch of land supporting the bridge (requires Surf)";"B|W";"Village Bridge"
"HP Up";"Southeast of Derleth (hidden)";"B|W";"Village Bridge"
"Full Restore";"Northeast of Derleth (hidden)";"B|W";"Village Bridge"
"Lum Berry";"From Baker Chris for being a good employee (daily)";"B|W";"Village Bridge"
"Dive Ball";"From a Fisherman for showing him a requested species of fish Pokémon caught that day (daily)*";"B|W|B2|W2";"Village Bridge"
"TM46 (Thief)";"1F, South of entrance";"B|W";"Wellspring Cave"
"Full Heal";"1F, West of TM46 at the top of the stairs (hidden)";"B|W";"Wellspring Cave"
"PP Up";"1F, West of Full Heal (requires Surf) (hidden)";"B|W";"Wellspring Cave"
"Elixir";"1F, In the west (requires Surf)";"B|W";"Wellspring Cave"
"Escape Rope";"1F, In the south (requires Surf)";"B|W";"Wellspring Cave"
"Max Potion";"B1F, East of entrance (hidden)";"B|W";"Wellspring Cave"
"TM47 (Low Sweep)";"B1F, East from Max Potion (requires Surf)";"B|W";"Wellspring Cave"
"Hyper Potion";"B1F, Northwest of Battle Girl Xiao (hidden)";"B|W";"Wellspring Cave"
"Dive Ball";"B1F, South of Hyper Potion";"B|W";"Wellspring Cave"
"Mystic Water";"B1F, North of TM47 in east";"B|W";"Wellspring Cave"
"Revive";"B1F, South of Mystic Water in east (hidden)";"B|W";"Wellspring Cave"
"Max Elixir";"B1F, Northeast end (hidden)";"B|W";"Wellspring Cave"
"TM52 (Focus Blast)";"B1F, Northern end (requires Surf)";"B|W|B2|W2";"Wellspring Cave"
"Fire Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Water Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Electric Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Grass Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Ice Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Fighting Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Poison Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Ground Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Flying Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Psychic Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Bug Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Rock Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Ghost Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Dragon Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Dark Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Steel Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Normal Gem";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Fire Stone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Water Stone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Thunderstone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Leaf Stone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Moon Stone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Sun Stone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Shiny Stone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Dusk Stone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Dawn Stone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Oval Stone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Everstone";"Dust cloud";"B|W|B2|W2";"Wellspring Cave"
"Hard Stone";"Dust cloud";"B|W";"Wellspring Cave"
"Stardust";"Leo";"W";"White Forest"
"Dive Ball";"Jacques";"W";"White Forest"
"Thunderstone";"Ken";"W";"White Forest"
"Heart Scale";"Lynette";"W";"White Forest"
"Yellow Shard";"Collin";"W";"White Forest"
"Quick Ball";"Ryder";"W";"White Forest"
"Nest Ball";"Piper";"W";"White Forest"
"Green Shard";"Marie";"W";"White Forest"
"TinyMushroom";"Dave";"W";"White Forest"
"Net Ball";"Shane";"W";"White Forest"
"Dusk Stone";"Herman";"W";"White Forest"
"Repeat Ball";"Miki";"W";"White Forest"
"Poké Ball";"PierceSilvia";"W";"White Forest"
"Rare Bone";"Britney";"W";"White Forest"
"Great Ball";"Robbie";"W";"White Forest"
"Fire Stone";"Vincent";"W";"White Forest"
"Water Stone";"Ralph";"W";"White Forest"
"Ultra Ball";"Miho";"W";"White Forest"
"Sun Stone";"Lena";"W";"White Forest"
"Leaf Stone";"Karenna";"W";"White Forest"
"Moon Stone";"Rosa";"W";"White Forest"
"Shiny Stone";"Molly";"W";"White Forest"
"Big Mushroom";"Gene";"W";"White Forest"
"Blue Shard";"Eliza";"W";"White Forest"
"Dawn Stone";"Grace";"W";"White Forest"
"Oval Stone";"Carlos";"W";"White Forest"
"Red Shard";"Doug";"W";"White Forest"
"Honey";"Frederic";"W";"White Forest"
"Timer Ball";"Emi";"W";"White Forest"
"Chesto Berry";"Given by the Mayor";"W";"White Forest"
"Pecha Berry";"Given by the Mayor";"W";"White Forest"
"Leppa Berry";"Given by the Mayor";"W";"White Forest"
"Lum Berry";"Given by the Mayor";"W";"White Forest"
"Bluk Berry";"Given by the Mayor";"W";"White Forest"
"Full Heal";"On the pile of logs outside of the Charcoal kiln (hidden)";"HG|SS";"Azalea Town"
"Wht Apricorn";"Apricorn tree outside of Kurt's House (daily)";"G|S|C|HG|SS";"Azalea Town"
"Fast Ball";"Gift from Kurt after Team Rocket is driven out of Slowpoke Well";"HG|SS";"Azalea Town"
"Charcoal";"Gift from the charcoal maker's assistant after obtaining HM01 (Cut)";"G|S|C|HG|SS";"Azalea Town"
"Full Heal";"3F; lower-left platform";"HG|SS";"Bell Tower"
"Full Heal";"6F; upper-left platform";"HG|SS";"Bell Tower"
"Max Potion";"3F; on the ramp obscured by the swaying pillar (hidden)";"HG|SS";"Bell Tower"
"Max Potion";"6F; left of the center pillar";"HG|SS";"Bell Tower"
"Ultra Ball";"4F; on the series of ramps";"HG|SS";"Bell Tower"
"PP Up";"4F; lower-right platform";"HG|SS";"Bell Tower"
"Escape Rope";"4F; near the ladder on the lower-left platform";"HG|SS";"Bell Tower"
"Full Restore";"5F; platform above the lower-right hand platform (hidden)";"HG|SS";"Bell Tower"
"Full Restore";"8F; upper-left platform";"HG|SS";"Bell Tower"
"Rare Candy";"5F; in front of the swaying pillar";"HG|SS";"Bell Tower"
"Max Revive";"7F; upper-right platform";"HG|SS";"Bell Tower"
"Max Elixir";"8F; near the swaying pillar";"HG|SS";"Bell Tower"
"Nugget";"8F; platform accessed via a warp tile on 9F";"HG|SS";"Bell Tower"
"Carbos";"8F; where the right window's light shines (hidden)";"HG|SS";"Bell Tower"
"HP Up";"9F; northern section accessed via a warp tile on 8F";"HG|SS";"Bell Tower"
"TinyMushroom";"Northeast of the entrance (hidden)";"HG|SS";"Bellchime Trail"
"TinyMushroom";"East of the first TinyMushroom (hidden)";"HG|SS";"Bellchime Trail"
"TinyMushroom";"Next to the northwest corner of the Bell Tower (hidden)";"HG|SS";"Bellchime Trail"
"Big Mushroom";"North of the curve in the trail (hidden)";"HG|SS";"Bellchime Trail"
"Big Mushroom";"South of the Bell Tower (hidden)";"HG|SS";"Bellchime Trail"
"Soft Sand";"From SantosSa";"HG|SS";"Blackthorn City"
"Snooze Ribbon";"From Santos after meeting all the Week SiblingsSa";"HG|SS";"Blackthorn City"
"Effort Ribbon";"From the house northeast of the Pokémon Center, if the player's lead Pokémon has 510 EVs";"HG|SS";"Blackthorn City"
"Smoke Ball";"Held by Doris, a Dodrio the player can receive in a trade";"C|HG|SS";"Blackthorn City"
"Ether";"1F; dead end at the northern side (hidden)";"HG|SS";"Burned Tower"
"Antidote";"1F; on the ""bridge"" on the northern side";"HG|SS";"Burned Tower"
"Ultra Ball";"1F; one tile north and one tile east of the southernmost breakable rock (hidden)";"HG|SS";"Burned Tower"
"HP Up";"1F; behind a breakable rock in the southwestern corner (requires Rock Smash)";"HG|SS";"Burned Tower"
"Antidote";"B1F; in a boulder just east of the northwestern pillar (hidden)";"HG|SS";"Burned Tower"
"TM12 (Taunt)";"B1F; in the northwestern corner (requires Strength)";"HG|SS";"Burned Tower"
"Revive";"B1F; in a boulder just west of the breakable rocks in the southeastern corner (hidden)";"HG|SS";"Burned Tower"
"PP Up";"In the southeastern-most part of the city (hidden)";"G|S|C|HG|SS";"Celadon City"
"TM67 (Recycle)";"At the end of the narrow pathway to the north of the city";"HG|SS";"Celadon City"
"GB Sounds";"3F, from Game Freak sound designer after obtaining all 16 Badges";"HG|SS";"Celadon Condominiums"
"Spell Tag";"Roof, from the man inside after listening to his storyNight";"HG|SS";"Celadon Condominiums"
"Turtwig Mask";"2F, from Crasher Wake";"HG|SS";"Celadon Department Store"
"Chimchar Mask";"2F, from Crasher Wake";"HG|SS";"Celadon Department Store"
"Piplup Mask";"2F, from Crasher Wake";"HG|SS";"Celadon Department Store"
"Coin Case";"From Mr. Game, if not obtained at the Goldenrod Game Corner";"HG|SS";"Celadon Game Corner"
"Nugget";"1F, near the northwest corner";"HG|SS";"Cerulean Cave"
"Nugget";"B1F, behind a lone breakable rock northeast of the rocks in the center (hidden)";"HG|SS";"Cerulean Cave"
"Hyper Potion";"1F, on the wall behind the breakable rocks in the southwest corner (hidden)";"HG|SS";"Cerulean Cave"
"Full Restore";"1F, along the south wall";"HG|SS";"Cerulean Cave"
"Revive";"1F, on a small crystal in the middle (hidden)";"HG|SS";"Cerulean Cave"
"Max Elixir";"1F, near the center, at the end of a bridge";"HG|SS";"Cerulean Cave"
"Sea Incense";"1F, north edge";"HG|SS";"Cerulean Cave"
"Rare Candy";"1F, in the far southeast corner (hidden)";"HG|SS";"Cerulean Cave"
"TM24 (Thunderbolt)";"2F, northeast corner (requires Rock Smash)";"HG|SS";"Cerulean Cave"
"PP Up";"2F, west side of 2F";"HG|SS";"Cerulean Cave"
"PP Up";"2F, in the large open area on the east side (hidden)";"HG|SS";"Cerulean Cave"
"Zinc";"2F, in the large open area on the east side (hidden)";"HG|SS";"Cerulean Cave"
"Full Heal";"2F, in the large open area on the east side (hidden)";"HG|SS";"Cerulean Cave"
"Big Pearl";"2F, in the large open area on the east side (hidden)";"HG|SS";"Cerulean Cave"
"Ultra Ball";"2F, west side";"HG|SS";"Cerulean Cave"
"Ultra Ball";"2F, in the large open area on the east side (hidden)";"HG|SS";"Cerulean Cave"
"Ultra Ball";"B1F, west of the breakable rocks in the center (hidden)";"HG|SS";"Cerulean Cave"
"Ultra Ball";"B1F, near the southwest corner";"HG|SS";"Cerulean Cave"
"Odd Incense";"2F, near the center (requires Rock Smash)";"HG|SS";"Cerulean Cave"
"Protein";"2F, near the northwest corner (hidden)";"HG|SS";"Cerulean Cave"
"Max Revive";"B1F, among the breakable rocks on the west side (hidden)";"HG|SS";"Cerulean Cave"
"Max Revive";"B1F, northwest of the breakable rocks in the center";"HG|SS";"Cerulean Cave"
"Dusk Stone";"B1F, center (requires Rock Climb)";"HG|SS";"Cerulean Cave"
"Electirizer";"B1F, northeast corner (requires Rock Climb)";"HG|SS";"Cerulean Cave"
"Black Sludge";"B1F, southeast corner";"HG|SS";"Cerulean Cave"
"Max Ether";"Found by smashing breakable rocks (25%)";"HG|SS";"Cerulean Cave"
"Revive";"Found by smashing breakable rocks (20%)";"HG|SS";"Cerulean Cave"
"Red Shard";"Found by smashing breakable rocks (10% each)";"HG|SS";"Cerulean Cave"
"Star Piece";"Found by smashing breakable rocks (5%)";"HG|SS";"Cerulean Cave"
"Nugget";"Southeast of the entrance to Cerulean Cave (requires Surf) (hidden)";"HG|SS";"Cerulean City"
"Running Shoes";"Gift from Guide Gent after giving a tour around the town";"HG|SS";"Cherrygrove City"
"Map Card";"Gift from Guide Gent at the entrance to Route 30";"HG|SS";"Cherrygrove City"
"Mystic Water";"Gift from the man on the island in the water (requires Surf)";"G|S|C|HG|SS";"Cherrygrove City"
"Nugget";"East of the Pokémon Center, accessed from Route 30's lower pond (requires Surf) (hidden)";"HG|SS";"Cherrygrove City"
"Nugget";"On the cliff north of the off-shore island (requires Surf and Rock Climb) (hidden)";"HG|SS";"Cherrygrove City"
"Stardust";"In front of the second drying rack from the top (hidden)";"HG|SS";"Cianwood City"
"Revive";"Next to northernmost house (requires Rock Smash) (hidden)";"HG|SS";"Cianwood City"
"Berry Juice";"Held by Shuckie, a Shuckle the player can receive from Kirk";"HG|SS";"Cianwood City"
"SecretPotion";"From the Cianwood City Pharmacy after talking with Jasmine at the Glitter Lighthouse";"G|S|C|HG|SS";"Cianwood City"
"HM02 (Fly)";"Gift from Chuck's wife outside of the Gym after earning the Storm Badge";"G|S|C|HG|SS";"Cianwood City"
"Max Ether";"Found by smashing breakable rocks (25%)";"HG|SS";"Cianwood City"
"Revive";"Found by smashing breakable rocks (20%)";"HG|SS";"Cianwood City"
"Red Shard";"Found by smashing breakable rocks (10% each)";"HG|SS";"Cianwood City"
"Star Piece";"Found by smashing breakable rocks (5%)";"HG|SS";"Cianwood City"
"Rare Candy";"On a rock at the northwest corner of the island (requires Rock Climb) (hidden)";"HG|SS";"Cinnabar Island"
"Iron";"On a rock in the southeastern corner of the island (requires Rock Climb) (hidden)";"HG|SS";"Cinnabar Island"
"Star Piece";"On a rock on the erupted volcano (requires Rock Climb) (hidden)";"HG|SS";"Cinnabar Island"
"Magmarizer";"On the erupted volcano (requires Rock Climb)";"HG|SS";"Cinnabar Island"
"Ultra Ball";"3F, wall in the southeast corner (hidden)";"HG|SS";"Cliff Cave"
"Max Ether";"Found by smashing breakable rocks (25%)";"HG|SS";"Cliff Cave"
"Pearl";"Found by smashing breakable rocks (20%)";"HG|SS";"Cliff Cave"
"Big Pearl";"Found by smashing breakable rocks (10%)";"HG|SS";"Cliff Cave"
"Red Shard";"Found by smashing breakable rocks (10% each)";"HG";"Cliff Cave"
"Blue Shard";"Found by smashing breakable rocks (10% each)";"SS";"Cliff Cave"
"Claw Fossil";"Found by smashing breakable rocks (20%)";"HG";"Cliff Cave"
"Root Fossil";"Found by smashing breakable rocks (20%)";"SS";"Cliff Cave"
"Rare Bone";"Randomly found by smashing breakable rocks (5%)";"HG|SS";"Cliff Cave"
"Big Pearl";"In the rock on the north side of the pond (requires Rock Climb and Surf) (hidden)";"HG|SS";"Cliff Edge Gate"
"Dire Hit";"Northwest of the exit to Route 46 (requires Rock Smash)";"C|HG|SS";"Dark Cave"
"Hyper Potion";"South of northeast corner (requires Rock Smash)";"HG|SS";"Dark Cave"
"Potion";"Near the exit to Route 31";"G|S|C|HG|SS";"Dark Cave"
"Poké Ball";"In a rock northeast of the Potion (hidden)";"HG|SS";"Dark Cave"
"Black Flute";"East of the Route 31 entrance (requires Surf)";"HG|SS";"Dark Cave"
"Max Ether";"In a wall between two rocks southeast of the Hyper Potion (requires Rock Smash) (hidden)";"HG|SS";"Dark Cave"
"Full Heal";"North of the Route 46 entrance (requires Rock Smash)";"G|S|C|HG|SS";"Dark Cave"
"Elixir";"Southwest of entrance from Route 45 (hidden)";"HG|SS";"Dark Cave"
"Revive";"Southeast corner (requires Surf)";"G|S|C|HG|SS";"Dark Cave"
"TM54 (False Swipe)";"Northeast of the exit to the Route 31 side (requires Surf)";"HG|SS";"Dark Cave"
"BlackGlasses";"From the man in the northwest corner of the Route 45 side (requires Surf)";"G|S|C|HG|SS";"Dark Cave"
"Max Revive";"On a rock, north of the man who gives BlackGlasses (requires Surf) (hidden)";"HG|SS";"Dark Cave"
"Hyper Potion";"On a rock north of the exit to the Route 31 side (requires Surf) (hidden)";"HG|SS";"Dark Cave"
"Max Ether";"Found by smashing breakable rocks (25%)";"HG|SS";"Dark Cave"
"Revive";"Found by smashing breakable rocks (20%)";"HG|SS";"Dark Cave"
"Red Shard";"Found by smashing breakable rocks (10% each)";"HG|SS";"Dark Cave"
"Star Piece";"Found by smashing breakable rocks (5%)";"HG|SS";"Dark Cave"
"Max Revive";"On the lower level, to the right of the overhanging north-south bridge (hidden)";"HG|SS";"Diglett's Cave"
"Calcium";"On the northwest raised ledge (requires Rock Climb) (hidden)";"HG|SS";"Diglett's Cave"
"PP Max";"On the middle raised ledge (requires Rock Climb)";"HG|SS";"Diglett's Cave"
"Rock Incense";"On the southernmost raised ledge (requires Rock Climb)";"HG|SS";"Diglett's Cave"
"Passho Berry";"Held by Hornlette, a Rhyhorn the player can receive in a trade";"HG|SS";"Diglett's Cave"
"Revive";"West of the Ace Trainer Kobe on a rock (hidden)";"HG|SS";"Dragon's Den"
"Calcium";"East of entrance";"C|HG|SS";"Dragon's Den"
"Max Elixir";"Near Twins Clea & Gil";"HG|SS";"Dragon's Den"
"Max Elixir";"At southeast corner of shrine (hidden)";"HG|SS";"Dragon's Den"
"Max Potion";"On rock south-west of Ace Trainer Piper (hidden)";"HG|SS";"Dragon's Den"
"TM59 (Dragon Pulse)";"Gift from Clair near entrance after obtaining the Rising Badge";"HG|SS";"Dragon's Den"
"Dragon Fang";"On the eastern coast (requires Whirlpool)";"G|S|C|HG|SS";"Dragon's Den"
"Rare Candy";"One tile south and one tile east of the southeastern corner of the lake in the north (hidden)";"HG|SS";"Ecruteak City"
"Hyper Potion";"In the northern mound of dirt in the empty plot in the middle of the city (hidden)";"HG|SS";"Ecruteak City"
"Ether";"In the burned logs east of the Burned Tower (hidden)";"HG|SS";"Ecruteak City"
"Ultra Ball";"In the second lamp post from the left near the western gate (hidden)";"HG|SS";"Ecruteak City"
"HM03 (Surf)";"Reward from old man for saving the Dance Theater from the Team Rocket Grunt";"HG|SS";"Ecruteak City"
"Dowsing MCHN";"Gift from the Ace Trainer in the house east of the Gym";"HG|SS";"Ecruteak City"
"Clear Bell";"Reward for defeating the Kimono Girls";"HG";"Ecruteak City"
"Tidal Bell";"Reward for defeating the Kimono Girls";"SS";"Ecruteak City"
"Rare Candy";"Near the Hiker northeast of the entrance (hidden)";"HG|SS";"Frontier Access"
"Red Apricorn";"From an Apricorn tree located in the northern area (requires Cut) (daily)";"HG|SS";"Fuchsia City"
"Nugget";"Near the flower boxes in the northeast area (hidden)";"HG|SS";"Fuchsia City"
